playlist_name,playlist_id,followers,average_danceability,average_energy,average_key,average_loudness,average_mode,average_speechiness,average_acousticness,average_instrumentalness,average_liveness,average_valence,average_tempo,average_time_signature,average_duration_ms,total_duration,total_num,genre,max_popularity,avg_popularity
This Is: Status Quo,37i9dQZF1DX1zj9CzXszqD,9728,0.552953488,0.776627907,4.558139535,-7.193255814,0.930232558,0.037481395,0.178740698,0.05292146,0.211265116,0.711906977,134.0941395,4,224949.4186,9672825,43,rock,57,23.46511628
This Is: Stevie Wonder,37i9dQZF1DWWYIyS8LLUDj,61668,0.603,0.5601,6.2,-11.05086,0.6,0.056,0.26071156,0.001864752,0.144392,0.629416,115.58842,4,262193.66,13109683,50,blues,69,45.36
This Is: The Beach Boys,37i9dQZF1DXaZan2kzvaVc,34791,0.46674,0.47853,5.92,-9.59674,0.78,0.03194,0.4609486,0.048933998,0.172322,0.528486,117.49502,3.7,177945.54,8897277,50,other,66,40.82
This Is: The Rolling Stones,37i9dQZF1DX5COO9vTaRpO,228892,0.5466,0.72836,4.8,-7.06452,0.82,0.053388,0.365656,0.123368284,0.22096,0.652812,124.97942,3.98,255112.18,12755609,50,rock,67,49.24
This Is: The Weeknd,37i9dQZF1DX6bnzK9KPvrz,927328,0.618863636,0.58025,5.159090909,-7.505090909,0.25,0.108390909,0.236176364,0.010143278,0.167688636,0.355181818,124.9152273,3.931818182,253129.1364,11137682,44,rap,80,68.52272727
This Is:  Thomas Rhett,37i9dQZF1DXctzlWgrxNLn,66671,0.595090909,0.742772727,5.454545455,-5.748954545,0.795454545,0.053318182,0.084129659,1.53E-05,0.171065909,0.656954545,119.3669318,3.931818182,204598.1818,9002320,44,country,80,56.72727273
This Is: Trey Songz,37i9dQZF1DX5xFQkXoZxdM,85562,0.61895122,0.581853659,4.853658537,-6.859878049,0.487804878,0.105212195,0.179259268,1.93E-06,0.227346341,0.38552439,123.3120244,4.048780488,237565.4634,9740184,41,pop,76,58.68292683
This Is: Bob Dylan,37i9dQZF1DX8f6VxHEcGCN,117922,0.524986667,0.445376,4.826666667,-11.56097333,0.866666667,0.038838667,0.528742227,0.021901595,0.1808,0.496837333,125.6162933,3.84,300781.6667,22558625,75,rock,70,46.53333333
This Is: Bonobo,37i9dQZF1DWZais6SIaMts,48553,0.603116279,0.60455814,5.186046512,-9.919186047,0.23255814,0.051234884,0.339705814,0.636439535,0.159134884,0.292193023,112.9565116,3.88372093,308302.2326,13256996,43,indie,62,43.41860465
This Is: Britney Spears,37i9dQZF1DWXcA2XXbXQ3d,156437,0.724133333,0.753577778,5.822222222,-5.229822222,0.511111111,0.070368889,0.1708038,0.003241173,0.18882,0.683,116.7940444,4,220866.4,9938988,45,pop,75,52.2
